201,Взаємини в сім'ї,Стосунки у подружжі,,ВС1-8Відео Стосунки у подружжі
202,Взаємини в сім'ї,Як любити свою дружину,,ВС2-8В Як любити свою дружину
203,Взаємини в сім'ї,Служіння своїй дружині,,ВС3-8В Служіння своїй дружині
204,Взаємини в сім'ї,Як зробити свою дружину славною людиною,,ВС4-8В Як зробити свою дружину славною людиною
205,Взаємини в сім'ї,Продовжуйте упадати за своєю дружиною,,ВС5-8В Продовжуйте упадати за своєю дружиною
206,Взаємини в сім'ї,Сімейний час — відсутня складова,,ВС6-8В Сімейний час — відсутня складова
207,Взаємини в сім'ї,"Небезпеки, що чатують на дітей християнських керівників",,"ВС7-8В Небезпеки, що чатують на дітей християнських керівників"
208,Взаємини в сім'ї,Поради для зайнятих дружин,,ВС8-8В Поради для зайнятих дружин
209,Взаємини в сім'ї,До уваги дружин християнських керівників,,ВС9-8В До уваги дружин християнських керівників
210,Взаємини в сім'ї,Робочі відносини,,ВС10-8В Робочі відносини
211,Взаємини в сім'ї,"10 способів, якими чоловіки шкодять своєму шлюбу",,"ВС11-8В 10 способів, якими чоловіки шкодять своєму шлюбу"
